lh.aparc.a2009s.thickness	lh_G_and_S_frontomargin_thickness	lh_G_and_S_occipital_inf_thickness	lh_G_and_S_paracentral_thickness	lh_G_and_S_subcentral_thickness	lh_G_and_S_transv_frontopol_thickness	lh_G_and_S_cingul-Ant_thickness	lh_G_and_S_cingul-Mid-Ant_thickness	lh_G_and_S_cingul-Mid-Post_thickness	lh_G_cingul-Post-dorsal_thickness	lh_G_cingul-Post-ventral_thickness	lh_G_cuneus_thickness	lh_G_front_inf-Opercular_thickness	lh_G_front_inf-Orbital_thickness	lh_G_front_inf-Triangul_thickness	lh_G_front_middle_thickness	lh_G_front_sup_thickness	lh_G_Ins_lg_and_S_cent_ins_thickness	lh_G_insular_short_thickness	lh_G_occipital_middle_thickness	lh_G_occipital_sup_thickness	lh_G_oc-temp_lat-fusifor_thickness	lh_G_oc-temp_med-Lingual_thickness	lh_G_oc-temp_med-Parahip_thickness	lh_G_orbital_thickness	lh_G_pariet_inf-Angular_thickness	lh_G_pariet_inf-Supramar_thickness	lh_G_parietal_sup_thickness	lh_G_postcentral_thickness	lh_G_precentral_thickness	lh_G_precuneus_thickness	lh_G_rectus_thickness	lh_G_subcallosal_thickness	lh_G_temp_sup-G_T_transv_thickness	lh_G_temp_sup-Lateral_thickness	lh_G_temp_sup-Plan_polar_thickness	lh_G_temp_sup-Plan_tempo_thickness	lh_G_temporal_inf_thickness	lh_G_temporal_middle_thickness	lh_Lat_Fis-ant-Horizont_thickness	lh_Lat_Fis-ant-Vertical_thickness	lh_Lat_Fis-post_thickness	lh_Pole_occipital_thickness	lh_Pole_temporal_thickness	lh_S_calcarine_thickness	lh_S_central_thickness	lh_S_cingul-Marginalis_thickness	lh_S_circular_insula_ant_thickness	lh_S_circular_insula_inf_thickness	lh_S_circular_insula_sup_thickness	lh_S_collat_transv_ant_thickness	lh_S_collat_transv_post_thickness	lh_S_front_inf_thickness	lh_S_front_middle_thickness	lh_S_front_sup_thickness	lh_S_interm_prim-Jensen_thickness	lh_S_intrapariet_and_P_trans_thickness	lh_S_oc_middle_and_Lunatus_thickness	lh_S_oc_sup_and_transversal_thickness	lh_S_occipital_ant_thickness	lh_S_oc-temp_lat_thickness	lh_S_oc-temp_med_and_Lingual_thickness	lh_S_orbital_lateral_thickness	lh_S_orbital_med-olfact_thickness	lh_S_orbital-H_Shaped_thickness	lh_S_parieto_occipital_thickness	lh_S_pericallosal_thickness	lh_S_postcentral_thickness	lh_S_precentral-inf-part_thickness	lh_S_precentral-sup-part_thickness	lh_S_suborbital_thickness	lh_S_subparietal_thickness	lh_S_temporal_inf_thickness	lh_S_temporal_sup_thickness	lh_S_temporal_transverse_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
1C_BA09ER22	2.155	2.26	2.669	2.551	2.465	2.494	2.148	2.386	2.726	2.222	1.629	2.644	2.545	2.39	2.473	2.659	2.818	3.424	2.481	2.165	2.587	1.765	2.504	2.505	2.577	2.549	2.327	2.192	2.702	2.403	2.63	2.33	2.34	2.951	3.181	2.432	2.819	2.936	1.803	2.183	2.578	1.62	3.304	1.727	1.887	2.231	2.585	2.738	2.498	2.504	1.708	2.219	2.046	2.272	2.431	2.22	1.804	2.162	2.085	2.499	2.108	2.264	2.182	2.503	2.032	1.71	2.038	2.444	2.44	2.358	2.217	2.456	2.445	2.272	2.38676	1243936	1668651.584
1C_EL04ST22	2.513	2.504	2.628	2.717	2.934	2.693	2.552	2.481	2.845	2.553	1.735	2.935	3.022	2.738	2.797	3.028	2.963	3.714	2.428	1.94	3.007	2.148	2.807	2.963	2.817	2.883	2.366	2.517	2.996	2.686	2.764	2.501	2.565	3.131	3.397	2.671	3.112	2.905	2.279	2.14	2.345	1.565	3.297	1.822	2.099	2.211	2.826	2.496	2.323	2.819	2.032	2.194	2.299	2.408	2.753	2.283	1.916	2.048	2.434	2.627	2.356	2.155	2.309	2.869	2.198	1.8	2.345	2.345	2.403	2.625	2.419	2.559	2.581	2.634	2.55051	943332	1197866.782
1C_EL09UL24	2.223	2.523	2.726	2.933	2.685	2.807	2.606	2.552	2.674	2.85	1.757	3.09	2.833	3.048	2.727	3.154	3.023	3.532	2.99	2.239	2.879	2.18	2.787	2.799	2.902	3.08	2.714	2.472	3.14	3.017	2.743	2.661	2.607	3.03	2.733	2.867	3.275	3.273	2.883	2.381	2.318	1.891	3.425	1.818	2.165	2.453	2.767	2.645	2.625	2.551	2.048	2.585	2.438	2.407	2.292	2.509	2.26	2.542	2.544	2.608	2.595	2.291	2.297	2.581	2.545	1.582	2.601	2.637	2.357	2.436	2.531	2.651	2.61	2.239	2.64269	1022636	1349746.702
1C_EN04RD31	2.249	2.54	2.322	2.491	2.549	2.659	2.492	2.323	2.829	2.569	1.899	2.867	2.738	2.771	2.561	2.678	2.822	3.418	2.638	2.223	2.733	1.932	3.085	2.835	2.777	2.624	2.513	2.62	2.273	2.633	2.513	2.448	2.834	2.842	2.927	2.531	2.912	3.163	1.923	2.212	2.532	2.108	3.215	1.825	2.288	2.435	2.735	2.357	2.349	2.623	2.033	2.317	2.197	2.392	2.317	2.506	1.707	2.266	2.214	2.397	2.221	2.167	2.01	2.644	2.172	1.927	2.334	2.811	2.142	2.275	2.362	2.512	2.467	2.233	2.49196	1151971	1589139.404
1C_EN05ER24	2.511	2.343	2.57	2.618	2.691	2.753	2.686	2.331	2.937	2.377	1.664	2.797	2.976	2.784	2.764	2.89	2.837	3.023	2.68	2.229	2.839	1.883	2.849	2.83	2.888	2.774	2.514	2.607	2.876	2.664	2.676	2.165	2.518	3.011	2.973	2.262	2.967	3.176	2.032	2.327	2.332	1.873	3.166	1.649	2	2.399	2.704	2.516	2.497	2.749	1.637	2.255	2.201	2.556	2.348	2.382	2.001	2.282	2.074	2.227	2.166	3.354	2.246	2.783	2.295	1.709	2.34	2.5	2.332	2.823	2.3	2.33	2.419	2.179	2.49906	1107575	1503266.795
1C_EN06RD06	2.525	2.402	2.63	2.926	2.938	2.857	2.734	2.439	2.822	3.039	1.891	2.844	3.006	2.729	2.592	2.848	3.242	3.491	2.49	1.947	3.207	2.012	3.127	2.616	2.825	2.917	2.519	2.408	2.986	2.695	2.757	2.228	2.594	3.539	3.39	2.883	3.178	3.011	2.08	2.248	2.446	1.423	3.66	1.819	2.141	2.353	2.76	2.731	2.546	2.78	1.875	2.266	2.294	2.549	2.517	2.279	2.119	2.191	2.637	2.411	2.264	2.32	2.194	2.563	2.079	2.012	2.36	2.586	2.457	2.365	2.477	2.669	2.644	2.867	2.57223	1091902	1301643.112
1C_ER04EJ12	2.556	2.586	2.584	2.948	2.599	2.831	2.699	2.568	2.874	2.749	1.685	2.972	2.847	2.72	2.786	2.884	3.137	3.672	2.723	2.083	2.942	1.853	2.979	2.524	2.977	2.999	2.6	2.455	3.184	2.632	2.411	2.824	2.587	3.012	3.363	2.88	3.05	3.379	2.216	2.369	2.586	1.969	3.363	1.737	2.018	2.337	2.784	2.918	2.695	2.545	2.159	2.229	2.184	2.459	2.565	2.325	2.115	2.239	2.328	2.441	2.212	2.338	2.098	2.721	2.322	1.431	2.413	2.584	2.559	2.333	2.364	2.692	2.646	2.119	2.58175	1010179	1232029.095
1C_ER05ER08	2.346	2.4	2.635	2.541	2.628	2.608	2.637	2.375	2.794	2.642	1.641	2.688	2.831	2.41	2.438	2.818	3.369	3.607	2.57	2.407	2.4	1.992	3.282	2.704	2.662	2.807	2.426	2.406	2.945	2.586	2.915	2.435	2.361	3.266	3.298	2.629	3.007	2.913	2.326	2.161	2.292	1.978	3.187	1.77	2.149	2.093	2.938	2.687	2.508	2.499	1.65	2.084	2.102	2.324	3.613	2.216	1.941	2.035	2.355	2.545	2.438	2.102	2.138	2.506	2.037	1.735	2.131	2.651	2.279	2.279	2.282	2.483	2.447	2.058	2.46646	1002997	1279893.383
1C_ER05ES22	2.302	2.527	2.466	2.49	2.354	2.696	2.492	2.623	2.72	2.819	1.901	2.647	2.742	2.454	2.559	2.758	3.054	3.36	2.727	2.028	2.924	2.047	3.283	2.655	2.51	2.625	2.376	2.305	2.924	2.507	2.614	2.237	2.496	2.69	3.236	2.37	2.974	2.95	2.3	2.065	2.273	1.461	3.165	1.713	1.959	2.318	2.785	2.693	2.51	2.44	1.817	2.018	2.07	2.313	2.274	2.147	2.298	2.363	2.364	2.433	2.522	2.004	2.491	2.624	2.187	1.539	1.982	2.319	2.2	2.251	2.208	2.525	2.514	2.188	2.43782	1226117	1621114.818
1C_ER05LF14	2.35	2.286	2.351	2.575	2.72	2.704	2.361	2.241	2.804	2.562	1.813	2.717	2.741	2.769	2.506	2.732	3.194	3.46	2.532	1.957	2.709	2.034	2.936	2.608	2.749	2.652	2.39	2.481	2.141	2.683	2.373	2.39	2.103	2.771	3.26	2.489	3.102	2.919	2.049	2.376	2.353	1.783	3.42	1.853	1.92	2.313	2.69	2.589	2.461	2.693	1.827	2.121	2.241	2.304	2.248	2.064	2.248	2.092	2.39	2.401	2.128	2.169	2.19	2.647	2.324	1.697	2.069	2.601	1.914	2.493	2.349	2.441	2.368	2.025	2.42876	1016411	1258723.976
