ID,sex,age
OAS1_0001,F,74
OAS1_0002,F,55
OAS1_0004,M,28
OAS1_0005,M,18
OAS1_0006,F,24
OAS1_0007,M,21
OAS1_0009,F,20
OAS1_0010,M,74
OAS1_0011,F,52
OAS1_0012,M,30
OAS1_0013,F,81
OAS1_0014,F,19
OAS1_0017,M,21
OAS1_0018,M,39
OAS1_0019,F,89
OAS1_0020,F,48
OAS1_0025,F,24
OAS1_0026,F,58
OAS1_0027,F,43
OAS1_0029,M,21
OAS1_0032,M,89
OAS1_0034,M,51
OAS1_0038,F,23
OAS1_0040,F,38
OAS1_0043,M,21
OAS1_0044,F,47
OAS1_0045,M,29
OAS1_0049,F,20
OAS1_0050,F,48
OAS1_0051,F,24
OAS1_0054,F,21
OAS1_0055,F,20
OAS1_0057,F,21
OAS1_0058,F,46
OAS1_0059,F,20
OAS1_0061,F,20
OAS1_0062,F,73
OAS1_0063,M,48
OAS1_0065,M,90
OAS1_0068,F,67
OAS1_0069,M,33
OAS1_0070,F,63
OAS1_0071,F,49
OAS1_0072,F,60
OAS1_0074,M,43
OAS1_0075,F,83
OAS1_0076,F,18
OAS1_0077,F,20
OAS1_0078,F,64
OAS1_0079,F,25
OAS1_0080,F,25
OAS1_0081,F,18
OAS1_0085,F,70
OAS1_0086,F,47
OAS1_0087,F,21
OAS1_0088,F,40
OAS1_0090,M,20
OAS1_0091,F,18
OAS1_0092,M,22
OAS1_0095,M,28
OAS1_0096,F,47
OAS1_0097,M,23
OAS1_0099,F,19
OAS1_0101,M,29
OAS1_0102,M,18
OAS1_0103,F,19
OAS1_0104,F,24
OAS1_0105,M,20
OAS1_0106,F,81
OAS1_0107,M,20
OAS1_0108,M,25
OAS1_0109,F,61
OAS1_0111,M,23
OAS1_0112,F,69
OAS1_0113,F,83
OAS1_0114,M,62
OAS1_0116,F,52
OAS1_0117,M,25
OAS1_0119,M,19
OAS1_0121,M,26
OAS1_0125,F,22
OAS1_0126,M,21
OAS1_0127,M,30
OAS1_0129,M,18
OAS1_0130,M,68
OAS1_0131,M,24
OAS1_0132,M,22
OAS1_0133,F,65
OAS1_0135,M,64
OAS1_0136,F,24
OAS1_0138,M,80
OAS1_0139,F,72
OAS1_0140,F,23
OAS1_0141,M,24
OAS1_0144,M,22
OAS1_0145,M,34
OAS1_0146,F,82
OAS1_0147,F,25
OAS1_0148,M,23
OAS1_0150,F,20
OAS1_0151,F,25
OAS1_0152,F,23
OAS1_0153,M,23
OAS1_0156,F,20
OAS1_0157,F,86
OAS1_0159,F,40
OAS1_0160,M,57
OAS1_0162,F,20
OAS1_0163,F,18
OAS1_0165,F,74
OAS1_0167,F,41
OAS1_0168,F,50
OAS1_0169,F,88
OAS1_0170,M,71
OAS1_0173,M,35
OAS1_0174,M,23
OAS1_0176,F,88
OAS1_0177,F,54
OAS1_0178,F,44
OAS1_0180,F,80
OAS1_0181,F,49
OAS1_0182,M,48
OAS1_0183,M,44
OAS1_0186,M,84
OAS1_0188,M,48
OAS1_0189,M,22
OAS1_0190,M,43
OAS1_0191,F,21
OAS1_0192,F,31
OAS1_0193,F,23
OAS1_0195,F,76
OAS1_0197,F,89
OAS1_0198,F,21
OAS1_0200,F,60
OAS1_0201,F,85
OAS1_0202,F,23
OAS1_0203,F,71
OAS1_0204,M,48
OAS1_0206,F,78
OAS1_0207,M,51
OAS1_0208,F,55
OAS1_0209,F,22
OAS1_0211,M,20
OAS1_0213,F,48
OAS1_0214,M,18
OAS1_0218,F,26
OAS1_0220,F,75
OAS1_0221,F,94
OAS1_0222,F,49
OAS1_0224,F,22
OAS1_0227,F,26
OAS1_0228,F,81
OAS1_0229,F,55
